sensor_type,x,y,z,time
linear,-5.19,13.09,2.26,9.564536094665527
linear,-4.73,12.15,3.05,9.577775001525879
linear,-1.32,7.04,0.71,9.594523191452026
linear,3.55,0.94,-1.03,9.608153104782104
linear,3.67,-6.50,-1.52,9.624543905258179
linear,3.68,-8.85,-1.12,9.637908935546875
linear,1.21,-8.30,-1.21,9.655369997024536
linear,0.63,-5.50,-1.75,9.668684005737305
linear,-3.55,6.75,-0.69,9.685065984725952
linear,-3.29,8.54,2.74,9.698594093322754
linear,-2.94,10.18,0.84,9.715169906616211
linear,0.72,1.71,0.31,9.72836709022522
linear,2.25,-3.73,-0.32,9.744018793106079
linear,2.08,-6.59,-0.08,9.757408857345581
linear,2.38,-7.34,-0.97,9.774171829223633
linear,2.16,-6.91,-1.73,9.787523031234741
linear,-0.75,2.36,-0.63,9.803672075271606
linear,-2.78,5.05,0.49,9.817435026168823
linear,-5.42,11.67,1.68,9.833435773849487
linear,-0.41,6.43,0.40,9.847473859786987
linear,1.02,-1.75,-1.23,9.863131046295166
linear,1.57,-5.78,-0.07,9.876301050186157
linear,1.75,-7.39,0.32,9.893333911895752
linear,1.65,-6.20,-0.29,9.90664792060852
linear,0.87,-1.11,-2.00,9.922279834747314
linear,0.09,1.07,-1.58,9.935992956161499
linear,-3.46,6.49,2.36,9.952244997024536
linear,-4.04,8.12,1.92,9.966038942337036
linear,-1.12,1.76,1.10,9.981552839279175
linear,1.57,-1.65,-0.66,9.99518895149231
linear,2.12,-4.62,-0.76,10.008461952209473
gyro,2.83,3.00,-2.83,1.1507461071014404
gyro,-0.04,0.08,-1.18,1.2708721160888672
gyro,-1.75,-0.01,-1.24,1.3909449577331543
gyro,-1.07,0.54,-0.11,1.7697930335998535
gyro,0.18,-1.02,0.25,1.9788470268249512
gyro,0.38,-0.66,0.21,2.0098228454589844
gyro,-0.01,-0.86,0.24,2.069628953933716
gyro,0.54,-0.08,0.25,3.139004945755005
gyro,0.68,1.00,-1.38,4.509776830673218
gyro,0.16,2.44,0.63,5.350070953369141
gyro,1.53,1.96,-1.45,5.411219835281372
gyro,1.84,-0.23,-0.94,5.590234041213989
gyro,2.66,1.19,-1.68,6.4718170166015625
gyro,-2.56,0.22,2.17,7.131716012954712
gyro,1.66,0.69,-0.34,7.250522136688232
gyro,2.83,-0.96,-2.84,7.371923923492432
gyro,1.54,3.21,1.34,7.871737957000732
gyro,-0.82,4.77,1.89,8.11107611656189
gyro,0.44,1.37,1.22,8.231688976287842
gyro,1.14,-2.87,-0.30,8.339913845062256
gyro,1.87,-3.98,-0.28,8.370528936386108
gyro,1.93,-5.02,-1.58,8.399994134902954
gyro,2.36,-5.21,-1.09,8.430721044540405
gyro,2.36,-7.22,-1.09,8.519588947296143
gyro,3.56,-5.20,-1.58,8.550006866455078
gyro,5.11,-3.05,-0.40,8.580052852630615
gyro,2.92,-2.25,0.17,8.610578775405884
gyro,11.08,5.18,4.17,9.129958868026733
gyro,1.18,0.41,-0.73,9.161964893341064
gyro,-4.82,-1.71,-1.49,9.219990015029907
